_id,Name,ImageUrls[0],ImageUrls[1],ImageUrls[2],PropertyType,Location,State,Address,BHKType,BathRoomNo,Area,Floor,PropertyAge,AvailableFrom,Furnishing,Amount.Type,Amount.Price,Amount.Deposite,Tenants,Parking[0],Parking[1],Facing,__v
6666a393a2edda0b28688bef,Suncity Apartment,https://media.istockphoto.com/id/1165384568/photo/europe-modern-complex-of-residential-buildings.jpg?s=1024x1024&w=is&k=20&c=1golptGIidGvd8qhQ7FvKAT2lFl7hIu8KGCJzBT_H8o=,https://media.istockphoto.com/id/1401582615/photo/residential-buildings-in-a-new-city-district.jpg?s=1024x1024&w=is&k=20&c=qqA8r5xKWXz7-jFOCPjQRuRyZ6a3ZSWKqELEOM4UO1k=,,Apartment,Pune,Maharashtra,"B-09, Suncity rd, Pune,Maharashtra",2BHK,2,1500,5th,5 years,2023-07-01,true,Rent,2500,5000,Family,2,4,East,0
66681686df968b811f5006f1,Greenwood Villa,https://miannaproperties.com/wp-content/uploads/2020/11/Infograf%C2%B0a-Marbesa-2.jpg,https://livinator.com/wp-content/uploads/2022/05/3D-Architectural-Renderings.jpg,,Villa,Mumbai,Maharashtra,"456, Greenwood Rd, Chennai, Tamil Nadu",3BHK,3,2000,Ground + 1,5 years,2024-09-01,false,Sale,400000,0,Individuals,2,,North,0
66681b48df968b811f5006f3,Cityscape Towers,https://i.pinimg.com/originals/06/e6/f1/06e6f1dcb2172a95cd572357bf14d158.jpg,https://rrmarbella.com/img/usr/slider-03.jpg,,Apartment,Mumbai,Maharashtra,"123 Skyline Rd, Mumbai, Maharashtra",3BHK,3,1800,15th,2 years,2024-07-01,false,Sale,750000,90000,Professionals,2,3,East,0
666977e918e91e5a4220e8b9,Cityscape Towers,https://images.pexels.com/photos/439391/pexels-photo-439391.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=500,https://media.istockphoto.com/id/1322575582/photo/exterior-view-of-modern-apartment-building-offering-luxury-rental-units-in-silicon-valley.jpg?s=612x612&w=0&k=20&c=7ipOB2nGt7JB-rln2YM1wxQ2NI4ZZirsxSn8Ko9pk-k=,https://www.shutterstock.com/image-photo/eu-modern-european-complex-apartment-600nw-1445600369.jpg,Apartment,Mumbai,Maharashtra,"123 Skyline Rd, Mumbai, Maharashtra",3BHK,3,1800,15th,2 years,2024-07-01,false,Sale,750000,90000,Professionals,2,3,East,0
6669797a18e91e5a4220ed93,Green Valley Residency,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQYVwTFUrBWfKtVKQdOqt7_MUOWVbNuXCPSKw&s,https://www.prestigeparksgrove.ind.in/images/prestige/best-apartments-in-whitefield.webp,https://www.adarshdevelopers.com/blog/wp-content/uploads/2022/05/Your-Neighbourhood-To-Purchase-A-3-BHK-Apartment-In-Bangalore.png,Apartment,Virar,Maharashtra,"456 Green St, Virar, Maharashtra",2BHK,2,1200,10th,5 years,2024-08-01,true,Rent,25000,50000,Families,1,,West,0
66697a9c18e91e5a4220ee5c,Sunrise Apartments,https://img.freepik.com/free-photo/modern-luxury-apartments-reflect-futuristic-urban-growth-generated-by-ai_188544-26162.jpg,https://shreebalajiconstruction.com/wp-content/uploads/2023/12/Why-Apartments-Are-Better-than-Houses.png,,Apartment,Pune,Maharashtra,"789 Sunrise Blvd, Pune, Maharashtra",1BHK,1,800,5th,1 year,2024-06-15,false,Sale,400000,50000,Bachelors,1,,North,0
66697b1918e91e5a4220ee63,Riverside Homes,https://orelpc.com/img/WhatsApp-Image-2023-09-30-at-6.09.49-PM-1.jpeg,https://greenmarkdevelopers.com/wp-content/uploads/2023/05/888092-IMG_0265.png,,Villa,Dahanu,Maharashtra,"101 Riverside Dr, Dahanu, Maharashtra",4BHK,4,2500,Ground,3 years,2024-09-01,true,Rent,60000,120000,Families,2,4,South,0
66697bb318e91e5a4220ee6a,Ocean View Apartments,https://content.knightfrank.com/property/gcn190001/images/0166c368-f921-4655-9f03-389aec170403-0.jpg?cio=true&w=1200,https://imagecdn.99acres.com/media1/24112/15/482255048M-1711436533493.jpg,,Apartment,Vasai,Maharashtra,"202 Ocean View Rd, Vasai, Maharashtra",3BHK,3,1500,8th,4 years,2024-10-01,false,Sale,550000,80000,Professionals,1,2,West,0
66697cb918e91e5a4220ef43,Garden Estate,https://thumbs.dreamstime.com/b/modern-apartment-building-5569745.jpg,https://i.pinimg.com/736x/54/52/51/5452513d8d53ab479ed7d2588f62314b.jpg,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTe6o-cAX4pNSBV_omV60pehUGXSDULWQQBzg&s,Villa,Virar,Maharashtra,"123 Greenfield St, Virar, Maharashtra",5BHK,5,3000,Ground,6 years,2024-08-10,false,Sale,1500000,200000,Families,2,4,East,0
66697d6d18e91e5a4220ef49,Sunset Villas,https://www.satyamevgroups.com/blog/wp-content/uploads/2019/12/residential-apartment-in-patna.jpg,https://static.dezeen.com/uploads/2017/11/pinterest-roundup-apartments-in-high-rises_dezeen_kelly_behun-852x852.jpg,,Villa,Dahanu,Maharashtra,"789 Beachside Dr, Dahanu, Maharashtra",4BHK,4,2800,Ground,2 years,2024-09-20,true,Rent,75000,150000,Professionals,2,,South,0
66697e2b18e91e5a4220ef60,Mountain View Villas,https://assets.bwbx.io/images/users/iqjWHBFdfxIU/izdcG.gHez5Y/v1/-1x-1.jpg,https://www.redfin.com/blog/wp-content/uploads/2022/07/110-W-Superior-St-Chicago-IL.jpg,,Villa,Dahanu,Maharashtra,"789 Mountain Rd, Dahanu, Maharashtra",5BHK,5,3500,Ground,3 years,2024-11-15,true,Sale,2000000,250000,Families,3,,West,0
66697f9618e91e5a4220f070,Sunshine Apartments,https://www.thespruce.com/thmb/WRWU-S5USOJbtqdf-7r2cNjqyRk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/GettyImages-1205633399-57a85c4898ec44d6b18d342362e019ba.jpg,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRF0s7NnLzGLHyYr4IZnakSE0tNEyuOOzkXvA&s,,Row house,Pune,Maharashtra,"456 Sunny Rd, Pune, Maharashtra",2BHK,2,1100,7th,2 years,2024-12-10,false,Rent,30000,50000,Bachelors,1,,South,0
666d3948352ef92fb3a855e8,Cityscape Towers,https://i.pinimg.com/originals/06/e6/f1/06e6f1dcb2172a95cd572357bf14d158.jpg,https://rrmarbella.com/img/usr/slider-03.jpg,,Bungalow,Mumbai,Maharashtra,"123 Skyline Rd, Mumbai, Maharashtra",2BHK,3,1800,15th,2 years,2024-07-01,false,Sale,750000,90000,Family,2,3,East,0
666d3a05352ef92fb3a85600,Cityscape Appartment,https://i.pinimg.com/originals/06/e6/f1/06e6f1dcb2172a95cd572357bf14d158.jpg,https://rrmarbella.com/img/usr/slider-03.jpg,,Villa,Mumbai,Maharashtra,"123 Skyline Rd, Mumbai, Maharashtra",3BHK,3,1800,15th,2 years,2024-07-01,false,Sale,75000,90000,Family,2,3,East,0
666d3a29352ef92fb3a86008,Sagar Darshan Appartment,https://i.pinimg.com/originals/06/e6/f1/06e6f1dcb2172a95cd572357bf14d158.jpg,https://rrmarbella.com/img/usr/slider-03.jpg,,Appartment,Dahanu,Maharashtra,"123 Skyline Rd, Mumbai, Maharashtra",2BHK,3,1800,15th,2 years,2024-07-01,false,Sale,75000,90000,Family,2,3,East,0
666d3efa352ef92fb3a91ac2,Sagar Vijay Appartment,https://encrypted-tbn0.gstatic.com/images?q=tbn,https://encrypted-tbn0.gstatic.com/images?q=tbn,,Bungalow,Dahanu,Maharashtra,"123 Skyline Rd, Mumbai, Maharashtra",3BHK,3,1800,15th,2 years,2024-07-01,false,Sale,75000,90000,Family,2,3,East,0
666d3fce352ef92fb3a924f6,Serene Heights,https://media.istockphoto.com/id/1492424940/photo/apartment-buidling.webp?b=1&s=170667a&w=0&k=20&c=wAocVH5igy6ZAbfqeMqoiYkvwwQQ6o0I6rGAo8acKy0=,https://encrypted-tbn0.gstatic.com/images?q=tbn&s,,Studio Apartment,Dahanu,Maharashtra,"567 Lakeview Road, Nashik, Maharashtra",Studio,1,400,12th,Newly Built,2024-07-15,true,Rent,12000,24000,Couple,1,,East,0
666d518554ef9aa3e5acad11,Vilas Towers,https://media.istockphoto.com/id/1492424940/photo/apartment-buidling.webp?b=1&s=170667a&w=0&k=20&c=wAocVH5igy6ZAbfqeMqoiYkvwwQQ6o0I6rGAo8acKy0=,https://rrmarbella.com/img/usr/slider-03.jpg,,Bungalow,Mumbai,Maharashtra,"123 Skyline Rd, Mumbai, Maharashtra",1BHK,3,1800,15th,2 years,2024-07-01,false,Sale,750000,90000,Professionals,2,3,East,0
666d51dc54ef9aa3e5acad19,Vilas Villa,https://thumbor.forbes.com/thumbor/fit-in/x/https://www.forbes.com/advisor/wp-content/uploads/2021/09/low-rise-apartment.jpeg.jpg,https://c8.alamy.com/comp/EN4DRW/mumbai-indiachurchgateveer-nariman-roadcondominium-residential-apartment-EN4DRW.jpg,,Bungalow,Mumbai,Maharashtra,"123 Skyline Rd, Mumbai, Maharashtra",3BHK,3,1800,15th,2 years,2024-07-01,false,Sale,750000,90000,Individuals,2,3,East,0
666d526954ef9aa3e5acad21,Vilas Villa,https://www.thespruce.com/thmb/WRWU-S5USOJbtqdf-7r2cNjqyRk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/GettyImages-1205633399-57a85c4898ec44d6b18d342362e019ba.jpg,https://assets-news.housing.com/news/wp-content/uploads/2020/02/25174853/All-about-row-houses-in-India-FB-1200x700-compressed.jpg,,Row house,Mumbai,Maharashtra,"123 Skyline Rd, Mumbai, Maharashtra",4BHK,3,1800,15th,2 years,2024-07-01,false,Sale,750000,90000,Individuals,2,3,East,0
666d52bc54ef9aa3e5acad25,Vilas Villa,https://p.turbosquid.com/ts-thumb/7k/XCzQKx/UCqsNIwb/28ps/jpg/1581326523/1920x1080/fit_q87/0e4d72bc5fc9419b9accc92cd586d0da0ba1c9c0/28ps.jpg,https://is1-3.housingcdn.com/4f2250e8/f1f2bde2344d4c76acc8f5813352754f/v0/fs/shri_swami_puram_row_houses_a-chinchbhuwan-nagpur-shri_aappa_swami_infrastructure.jpeg,,Row house,Mumbai,Maharashtra,"123 Skyline Rd, Mumbai, Maharashtra",1BHK,3,1800,15th,2 years,2024-07-01,false,Sale,750000,90000,Individuals,2,3,East,0
666d52ee54ef9aa3e5acad29,Vilas Villa,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT1vT5scUXPzvDLGnHIJFZ0qwQAGCRBI3PuGQ&s,https://is1-3.housingcdn.com/4f2250e8/f1f2bde2344d4c76acc8f5813352754f/v0/fs/shri_swami_puram_row_houses_a-chinchbhuwan-nagpur-shri_aappa_swami_infrastructure.jpeg,,Row house,Mumbai,Maharashtra,"123 Skyline Rd, Mumbai, Maharashtra",1RK,3,1800,15th,2 years,2024-07-01,false,Sale,750000,90000,Individuals,2,3,East,0
666d534f54ef9aa3e5acad39,Vivek Row house,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT1vT5scUXPzvDLGnHIJFZ0qwQAGCRBI3PuGQ&s,https://is1-3.housingcdn.com/4f2250e8/f1f2bde2344d4c76acc8f5813352754f/v0/fs/shri_swami_puram_row_houses_a-chinchbhuwan-nagpur-shri_aappa_swami_infrastructure.jpeg,,Row house,Mumbai,Maharashtra,"123 Skyline Rd, Mumbai, Maharashtra",3BHK,3,1800,15th,2 years,2024-07-01,false,Sale,750000,90000,Individuals,2,3,East,0
666d538d54ef9aa3e5acad3d,Vivek Row house,https://is1-3.housingcdn.com/4f2250e8/f1f2bde2344d4c76acc8f5813352754f/v0/fs/shri_swami_puram_row_houses_a-chinchbhuwan-nagpur-shri_aappa_swami_infrastructure.jpeg,https://is1-3.housingcdn.com/4f2250e8/f1f2bde2344d4c76acc8f5813352754f/v0/fs/shri_swami_puram_row_houses_a-chinchbhuwan-nagpur-shri_aappa_swami_infrastructure.jpeg,,Row house,Mumbai,Maharashtra,"123 Skyline Rd, Mumbai, Maharashtra",2BHK,3,1800,15th,2 years,2024-07-01,false,Sale,750000,90000,Individuals,2,3,East,0
666d53c454ef9aa3e5acad42,Viraj Row house,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQudU61BXCk2pvNOiX_cKsz8U9cxWBt_bXviw&s,https://is1-3.housingcdn.com/4f2250e8/f1f2bde2344d4c76acc8f5813352754f/v0/fs/shri_swami_puram_row_houses_a-chinchbhuwan-nagpur-shri_aappa_swami_infrastructure.jpeg,,Row house,Mumbai,Maharashtra,"123 Skyline Rd, Mumbai, Maharashtra",2BHK,3,1800,15th,2 years,2024-07-01,false,Sale,750000,90000,Individuals,2,3,East,0
666d544354ef9aa3e5acad4f,Miraj Row house,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQudU61BXCk2pvNOiX_cKsz8U9cxWBt_bXviw&s,https://is1-3.housingcdn.com/4f2250e8/f1f2bde2344d4c76acc8f5813352754f/v0/fs/shri_swami_puram_row_houses_a-chinchbhuwan-nagpur-shri_aappa_swami_infrastructure.jpeg,,Row house,Mumbai,Maharashtra,"123 Skyline Rd, Mumbai, Maharashtra",1RK,3,1800,15th,2 years,2024-07-01,false,Sale,750000,90000,Professionals,2,3,East,0
666d548d54ef9aa3e5acad6f,Viraj Row house,https://img.staticmb.com/mbcontent/images/crop/uploads/2021/12/rowhouse_0_1200.jpg,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSt-Fj7IY2ptxAu61mIjrLVEwnht-FgOout3w&s,,Row house,Mumbai,Maharashtra,"123 Skyline Rd, Mumbai, Maharashtra",2BHK,3,1800,15th,2 years,2024-07-01,false,Sale,750000,90000,Professionals,2,3,East,0
666d54d554ef9aa3e5acadd8,Vsif Row house,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSwAV_c6NyN3V-KaSqPWgHwtuSK-CwWHV3FNQ&s,https://img.staticmb.com/mbcontent/images/crop/uploads/2021/12/rowhouse_0_1200.jpg,,Row house,Mumbai,Maharashtra,"123 Skyline Rd, Mumbai, Maharashtra",1BHK,3,1800,15th,2 years,2024-07-01,false,Sale,750000,90000,Professionals,2,3,East,0
666d553354ef9aa3e5acaddf,Gamer Row house,https://media.istockphoto.com/id/182930468/photo/modern-luxury-apartments.jpg?s=612x612&w=0&k=20&c=wi_IcEG-dc5rwY_bsFfY92_i4_XaJUxjDF3PfqyCP8M=,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSwAV_c6NyN3V-KaSqPWgHwtuSK-CwWHV3FNQ&s,,Row house,Mumbai,Maharashtra,"123 Skyline Rd, Mumbai, Maharashtra",3BHK,3,1800,15th,2 years,2024-07-01,false,Sale,750000,90000,Professionals,2,3,East,0
666d556754ef9aa3e5acade3,Gamer Row house,https://media.istockphoto.com/id/1149071433/photo/new-terraced-houses-for-sale-in-a-residential-development.jpg?s=612x612&w=0&k=20&c=DLdW5e1oqLK3LpczhtGZZHqa0TaXM8eX-k9W-MOhmno=,https://2.imimg.com/data2/OX/IX/MY-4361783/multistorey-apartment-500x500.jpghttps://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSwAV_c6NyN3V-KaSqPWgHwtuSK-CwWHV3FNQ&s,,Row house,Mumbai,Maharashtra,"123 Skyline Rd, Mumbai, Maharashtra",3BHK,3,1800,15th,2 years,2024-07-01,false,Sale,750000,90000,Professionals,2,3,East,0
666d55ca54ef9aa3e5acb8b0,Gamer Row house,https://media.istockphoto.com/id/1149071433/photo/new-terraced-houses-for-sale-in-a-residential-development.jpg?s=612x612&w=0&k=20&c=DLdW5e1oqLK3LpczhtGZZHqa0TaXM8eX-k9W-MOhmno=,https://2.imimg.com/data2/OX/IX/MY-4361783/multistorey-apartment-500x500.jpghttps://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSwAV_c6NyN3V-KaSqPWgHwtuSK-CwWHV3FNQ&s,,Row house,Mumbai,Maharashtra,"123 Skyline Rd, Mumbai, Maharashtra",1RK,3,1800,15th,2 years,2024-07-01,false,Sale,750000,90000,Family,2,3,East,0
666d55f654ef9aa3e5acbe3f,Gamer Row house,https://2.imimg.com/data2/OX/IX/MY-4361783/multistorey-apartment-500x500.jpghttps://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSwAV_c6NyN3V-KaSqPWgHwtuSK-CwWHV3FNQ&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTsfwm5JfsRzi8puLsSYgh-ySa1h48p1lYLlA&s,,Row house,Mumbai,Maharashtra,"123 Skyline Rd, Mumbai, Maharashtra",1BHK,3,1800,15th,2 years,2024-07-01,false,Sale,750000,90000,Family,2,3,East,0
666d560a54ef9aa3e5acc3cc,Goodwill Row house,https://2.imimg.com/data2/OX/IX/MY-4361783/multistorey-apartment-500x500.jpghttps://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSwAV_c6NyN3V-KaSqPWgHwtuSK-CwWHV3FNQ&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTsfwm5JfsRzi8puLsSYgh-ySa1h48p1lYLlA&s,,Row house,Mumbai,Maharashtra,"123 Skyline Rd, Mumbai, Maharashtra",3BHK,3,1800,15th,2 years,2024-07-01,false,Sale,750000,90000,Family,2,3,East,0
666d563154ef9aa3e5acce32,Godsplan Row house,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTsfwm5JfsRzi8puLsSYgh-ySa1h48p1lYLlA&s,https://img.staticmb.com/mbcontent/images/crop/uploads/2021/12/greek%20row%20house_0_1200.jpg,,Row house,Mumbai,Maharashtra,"123 Skyline Rd, Mumbai, Maharashtra",4BHK,3,1800,15th,2 years,2024-07-01,false,Sale,750000,90000,Family,2,3,East,0
666d5a2654ef9aa3e5ad4438,Cozy Haven 1,https://teja12.kuikr.com/is/a/c/880x425/gallery_images/original/54d35af810242.jpg,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS_Z6V4F0arE6aU0juxBTNcz_nKFjaqgtiDFA&s,,Bungalow,Mumbai,Maharashtra,"456 Sunshine Avenue, Mumbai, Maharashtra",1RK,1,300,5th,1 year,2024-06-30,true,Rent,12000,24000,Family,1,,West,0
666d5a9c54ef9aa3e5ad4443,Wools,https://teja12.kuikr.com/is/a/c/880x425/gallery_images/original/54d35af810242.jpg,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS_Z6V4F0arE6aU0juxBTNcz_nKFjaqgtiDFA&s,,Apartment,Mumbai,Maharashtra,"456 Sunshine Avenue, Mumbai, Maharashtra",1RK,1,300,5th,1 year,2024-06-30,true,Rent,12000,24000,Family,1,,West,0
666d5ac254ef9aa3e5ad499c,Wools,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS_Z6V4F0arE6aU0juxBTNcz_nKFjaqgtiDFA&s,https://cloudimage.homeonline.com/640x360/public/uploads/project/images/elevation/mobile/lightbox/292d0ba4b9ddc73b71436702f2f26a7b.jpg,,Apartment,Mumbai,Maharashtra,"456 Sunshine Avenue, Mumbai, Maharashtra",1BHK,1,300,5th,1 year,2024-06-30,true,Rent,12000,24000,Family,1,,West,0
666d5b3854ef9aa3e5ad5a3d,SANS,https://cloudimage.homeonline.com/640x360/public/uploads/project/images/elevation/mobile/lightbox/292d0ba4b9ddc73b71436702f2f26a7b.jpg,https://smartscalehousedesign.com/wp-content/uploads/2023/12/20X40-Row-House-Design-800-sq-ft-Plot-Area-smartscale-house-design-1.png,,Apartment,Mumbai,Maharashtra,"456 Sunshine Avenue, Mumbai, Maharashtra",2BHK,1,300,5th,1 year,2024-06-30,true,Rent,12000,24000,Family,1,,West,0
666d5e5654ef9aa3e5ad857a,Butterfly Aparts,https://cloudimage.homeonline.com/640x360/public/uploads/project/images/elevation/mobile/lightbox/292d0ba4b9ddc73b71436702f2f26a7b.jpg,https://smartscalehousedesign.com/wp-content/uploads/2023/12/20X40-Row-House-Design-800-sq-ft-Plot-Area-smartscale-house-design-1.png,,Apartment,Mumbai,Maharashtra,"456 Sunshine Avenue, Mumbai, Maharashtra",3BHK,1,300,5th,1 year,2024-06-30,true,Rent,12000,24000,Family,1,,West,0
666d5e7e54ef9aa3e5ad857e,Bygone,https://cloudimage.homeonline.com/640x360/public/uploads/project/images/elevation/mobile/lightbox/292d0ba4b9ddc73b71436702f2f26a7b.jpg,https://smartscalehousedesign.com/wp-content/uploads/2023/12/20X40-Row-House-Design-800-sq-ft-Plot-Area-smartscale-house-design-1.png,,Apartment,Mumbai,Maharashtra,"456 Sunshine Avenue, Mumbai, Maharashtra",4BHK,1,300,5th,1 year,2024-06-30,true,Rent,12000,24000,Family,1,,West,0
666d5f9554ef9aa3e5ad8593,CityBloom,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQM0_B-DDz_GYLfo6OS3s9oPNMxByIqCmWqQQ&s,https://smartscalehousedesign.com/wp-content/uploads/2023/12/20X40-Row-House-Design-800-sq-ft-Plot-Area-smartscale-house-design-1.png,,Apartment,Mumbai,Maharashtra,"456 Sunshine Avenue, Mumbai, Maharashtra",1RK,1,300,5th,1 year,2024-06-30,false,Buy,12000,24000,Individuals,1,,West,0
666d5fed54ef9aa3e5ad8af8,CityBloom,https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.birlaojasvi.net.in%2F3-bhk-row-house.html&psig=AOvVaw09yN5tVZsDqu6xv74sB3nB&ust=1718526856515000&source=images&cd=vfe&opi=89978449&ved=0CBEQjRxqGAoTCJjm28eZ3YYDFQAAAAAdAAAAABDBAQ,https://compote.slate.com/images/64135443-89ec-4649-a800-e0fcf491b0f0.jpg,,Apartment,Mumbai,Maharashtra,"456 Sunshine Avenue, Mumbai, Maharashtra",2BHK,1,300,5th,1 year,2024-06-30,false,Buy,12000,24000,Individuals,1,,West,0
666d601754ef9aa3e5ad8afc,Suncity,https://compote.slate.com/images/64135443-89ec-4649-a800-e0fcf491b0f0.jpg,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQHB3n1rp1wRoR0Elh1B-olEUnkR5L1cIE4-Q&s,,Apartment,Mumbai,Maharashtra,"456 Sunshine Avenue, Mumbai, Maharashtra",3BHK,1,300,5th,1 year,2024-06-30,false,Buy,12000,24000,Individuals,1,,West,0
666d605154ef9aa3e5ad8c5c,Mooncity,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQHB3n1rp1wRoR0Elh1B-olEUnkR5L1cIE4-Q&s,https://img.staticmb.com/mbcontent/images/crop/uploads/2021/12/gothic%20row%20house_0_1200.jpg,,Apartment,Mumbai,Maharashtra,"456 Sunshine Avenue, Mumbai, Maharashtra",4BHK,1,300,5th,1 year,2024-06-30,true,Buy,12000,24000,Individuals,1,,West,0
666d60a154ef9aa3e5ada278,Codify city,https://img.staticmb.com/mbcontent/images/crop/uploads/2021/12/gothic%20row%20house_0_1200.jpg,https://content.jdmagicbox.com/comp/buldhana/m8/9999p7262.7262.170814105041.i9m8/catalogue/shri-hari-construction-buldana-h-o-buldhana-builders-rfcw4.jpg,,Apartment,Mumbai,Maharashtra,"456 Sunshine Avenue, Mumbai, Maharashtra",1RK,1,300,5th,1 year,2024-06-30,true,Buy,12000,24000,Individuals,1,,West,0
666d60b454ef9aa3e5ada27c,Wool city,https://img.staticmb.com/mbcontent/images/crop/uploads/2021/12/gothic%20row%20house_0_1200.jpg,https://content.jdmagicbox.com/comp/buldhana/m8/9999p7262.7262.170814105041.i9m8/catalogue/shri-hari-construction-buldana-h-o-buldhana-builders-rfcw4.jpg,,Apartment,Mumbai,Maharashtra,"456 Sunshine Avenue, Mumbai, Maharashtra",1BHK,1,300,5th,1 year,2024-06-30,true,Buy,12000,24000,Individuals,1,,West,0
666d60ee54ef9aa3e5adad34,Sun city,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSlXBBFyXXBLcYlkOU6lejc0GqbHkcfl5Andg&s,https://content.jdmagicbox.com/comp/buldhana/m8/9999p7262.7262.170814105041.i9m8/catalogue/shri-hari-construction-buldana-h-o-buldhana-builders-rfcw4.jpg,,Apartment,Mumbai,Maharashtra,"456 Sunshine Avenue, Mumbai, Maharashtra",2BHK,1,300,5th,1 year,2024-06-30,true,Buy,12000,24000,Individuals,1,,West,0
666d60f554ef9aa3e5adad36,Sun city,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSlXBBFyXXBLcYlkOU6lejc0GqbHkcfl5Andg&s,https://content.jdmagicbox.com/comp/buldhana/m8/9999p7262.7262.170814105041.i9m8/catalogue/shri-hari-construction-buldana-h-o-buldhana-builders-rfcw4.jpg,,Apartment,Mumbai,Maharashtra,"456 Sunshine Avenue, Mumbai, Maharashtra",3BHK,1,300,5th,1 year,2024-06-30,true,Buy,12000,24000,Individuals,1,,West,0
666d61b354ef9aa3e5add812,Tranquil Haven ,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSqosYEgFiaRAaz5fwJSgQ2yUavI3AF4PymxA&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTvMRVodz7JlQXim9HZ1rWj21s7LKEiASZZmA&s,,Apartment,Mumbai,Maharashtra,"345 Serenity Road, Mumbai, Maharashtra",4BHK,3,1200,12th,5 years,2024-09-01,false,Sale,1500000,200000,Family,2,3,South,0
666d61d154ef9aa3e5add814,Tranquil Haven ,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSqosYEgFiaRAaz5fwJSgQ2yUavI3AF4PymxA&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTvMRVodz7JlQXim9HZ1rWj21s7LKEiASZZmA&s,,Apartment,Mumbai,Maharashtra,"345 Serenity Road, Mumbai, Maharashtra",4BHK,3,1200,12th,5 years,2024-09-01,false,Sale,1500000,200000,Professionals,2,3,South,0
666d623d54ef9aa3e5adf9ab,Tranquil Haven ,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSqosYEgFiaRAaz5fwJSgQ2yUavI3AF4PymxA&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTvMRVodz7JlQXim9HZ1rWj21s7LKEiASZZmA&s,,Villa,Mumbai,Maharashtra,"345 Serenity Road, Mumbai, Maharashtra",4BHK,3,1200,12th,5 years,2024-09-01,false,Sale,1500000,200000,Professionals,2,3,South,0
666d62a054ef9aa3e5adf9b4, Haven ,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSJ959hZ2SE18Cot2HV_zSxPXdHpx7oGHCBUw&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTvMRVodz7JlQXim9HZ1rWj21s7LKEiASZZmA&s,,Villa,Mumbai,Maharashtra,"345 Serenity Road, Mumbai, Maharashtra",3BHK,3,1200,12th,5 years,2024-09-01,false,Sale,1500000,200000,Professionals,2,3,South,0
666d62fd54ef9aa3e5adf9be, WOOL city ,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTvMRVodz7JlQXim9HZ1rWj21s7LKEiASZZmA&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR4BEa2OerV1j4uQVqmlWMUclIGwXtkD9GrQA&s,,Villa,Mumbai,Maharashtra,"345 Serenity Road, Mumbai, Maharashtra",2BHK,3,1200,12th,5 years,2024-09-01,true,Sale,1500000,200000,Professionals,2,3,South,0
